tarih;gün;seri;ders;başlık;kanca;kitle;şablon;hassas;kesinlik;mevsim;ruh hali;ışık;gün batımı;gün türü;IG saat;TikTok saat;YT saat;IG etiket;TikTok etiket;YT etiket;YKS kalan;LGS kalan
2026-09-29;Sal;Ders Taktiği;TYT Matematik;Problemlerde tabloyu çiz;Yaş problemi mi? Önce tablo. Sonra denklem.;öğrenci;soru-cozum;;kesin;Yeni başlangıç;Heves yüksek, plan kaygısı var. Düzen kurma zamanı.;gün batımı 18:28;18:28;okul;20:30;21:30;19:30;#yks2027 #yks #matematik #tytkampı #eğitimkoçluğu;#yks2027 #yks #matematik #tytkampı #keşfet;#yks2027 #matematik #Shorts;263;257
2026-09-30;Çar;Aynı Hafta;;Yeni başlıyorum;11. sınıfım, şimdi başlamak erken mi?;öğrenci;yazisma;;kesin;Yeni başlangıç;Heves yüksek, plan kaygısı var. Düzen kurma zamanı.;gün batımı 18:27;18:27;okul;20:30;21:30;19:30;#yks2027 #yks #yksmotivasyon #sınavkaygısı #eğitimkoçluğu;#yks2027 #yks #yksmotivasyon #sınavkaygısı #keşfet;#yks2027 #yksmotivasyon #Shorts;262;256
2026-10-01;Per;Veli Köşesi;;Mezun öğrenci;Mezun yılında evde kalan gencin günü nasıl geçmeli?;veli;kart-veli;;kesin;Ritim;İlk deneme şoku, ritim oturuyor. Günler kısalmaya başladı.;gün batımı 18:25;18:25;veli;21:00;20:30;20:00;#yks2027 #lgs #ebeveyn #mersin #eğitimkoçluğu;#yks2027 #lgs #ebeveyn #mersin #keşfet;#yks2027 #ebeveyn #Shorts;261;255
2026-10-02;Cum;Doğru Bilinen Yanlışlar;;Son sınıfta her şey biter;Son sınıf başlangıç değil, devam.;öğrenci;efsane-gercek;;kesin;Ritim;İlk deneme şoku, ritim oturuyor. Günler kısalmaya başladı.;gün batımı 18:24;18:24;okul;20:30;21:30;19:30;#yks2027 #yks #çalışmayöntemleri #bilgi #eğitimkoçluğu;#yks2027 #yks #çalışmayöntemleri #bilgi #keşfet;#yks2027 #çalışmayöntemleri #Shorts;260;254
2026-10-03;Cmt;Deneme Günü;;Deneme sabahı rutini;Deneme sabahı: aynı kahvaltı, aynı saat, aynı kalem.;öğrenci;kart-liste;;kesin;Ritim;İlk deneme şoku, ritim oturuyor. Günler kısalmaya başladı.;gün batımı 18:22;18:22;cumartesi;13:00;14:30;12:30;#yks2027 #yks #tytdeneme #denemeanalizi #eğitimkoçluğu;#yks2027 #yks #tytdeneme #denemeanalizi #keşfet;#yks2027 #tytdeneme #Shorts;259;253
2026-10-04;Paz;Pazar Akşamı;;Mevsim değişimi;Hava değişti, ruh halin de değişebilir. Normal.;öğrenci;tek-cumle;;kesin;Ritim;İlk deneme şoku, ritim oturuyor. Günler kısalmaya başladı.;gün batımı 18:21;18:21;pazar;20:00;21:00;19:00;#yks2027 #yks #pazarakşamı #yksmotivasyon #eğitimkoçluğu;#yks2027 #yks #pazarakşamı #yksmotivasyon #keşfet;#yks2027 #pazarakşamı #Shorts;258;252
2026-10-05;Pzt;Haftanın Planı;;Okul yoğun haftası;Yazılı haftası: YKS planı durmaz, küçülür.;öğrenci;kart-liste;;kesin;Ritim;İlk deneme şoku, ritim oturuyor. Günler kısalmaya başladı.;gün batımı 18:19;18:19;okul;20:30;21:30;19:30;#yks2027 #yks #planlıçalışma #zamanyönetimi #eğitimkoçluğu;#yks2027 #yks #planlıçalışma #zamanyönetimi #keşfet;#yks2027 #planlıçalışma #Shorts;257;251
2026-10-06;Sal;Ders Taktiği;Geometri;Açıyı çizime yaz;Soruda verilen her açıyı çizimin üstüne yaz. Yarısı çözülür.;öğrenci;soru-cozum;;kesin;Ritim;İlk deneme şoku, ritim oturuyor. Günler kısalmaya başladı.;gün batımı 18:18;18:18;okul;20:30;21:30;19:30;#yks2027 #yks #geometri #konuanlatımı #eğitimkoçluğu;#yks2027 #yks #geometri #konuanlatımı #keşfet;#yks2027 #geometri #Shorts;256;250
2026-10-07;Çar;Aynı Hafta;;Okul yetişmiyor;Okulun yazılıları var, YKS'ye vakit kalmıyor.;öğrenci;yazisma;;kesin;Ritim;İlk deneme şoku, ritim oturuyor. Günler kısalmaya başladı.;gün batımı 18:16;18:16;okul;20:30;21:30;19:30;#yks2027 #yks #sınavkaygısı #öğrenci #eğitimkoçluğu;#yks2027 #yks #sınavkaygısı #öğrenci #keşfet;#yks2027 #sınavkaygısı #Shorts;255;249
2026-10-08;Per;Veli Köşesi;;Yazılı haftası;Okul yazılısı ile YKS çakışınca öncelik ne?;veli;kart-veli;;kesin;Ritim;İlk deneme şoku, ritim oturuyor. Günler kısalmaya başladı.;gün batımı 18:15;18:15;veli;21:00;20:30;20:00;#yks2027 #lgs #anneyiz #mersin #eğitimkoçluğu;#yks2027 #lgs #anneyiz #mersin #keşfet;#yks2027 #anneyiz #Shorts;254;248
2026-10-09;Cum;Doğru Bilinen Yanlışlar;;Çok saat = çok net;‘Günde 12 saat çalışan kazanır.’ Yanlış.;öğrenci;efsane-gercek;;kesin;Ritim;İlk deneme şoku, ritim oturuyor. Günler kısalmaya başladı.;gün batımı 18:13;18:13;okul;20:30;21:30;19:30;#yks2027 #yks #bilgi #verimliçalışma #eğitimkoçluğu;#yks2027 #yks #bilgi #verimliçalışma #keşfet;#yks2027 #bilgi #Shorts;253;247
2026-10-10;Cmt;Özel Gün;;Dünya Ruh Sağlığı Günü;Sınav kaygısı zayıflık değil. Konuşulur.;herkes;tek-cumle;;kesin;Ritim;İlk deneme şoku, ritim oturuyor. Günler kısalmaya başladı.;gün batımı 18:12;18:12;cumartesi;13:00;14:30;12:30;#yks2027 #yks #yks #motivasyon #eğitimkoçluğu;#yks2027 #yks #yks #motivasyon #keşfet;#yks2027 #yks #Shorts;252;246
2026-10-11;Paz;Pazar Akşamı;;Kendine koç ol;Kendine bir arkadaşına konuşur gibi konuş.;öğrenci;tek-cumle;;kesin;Ritim;İlk deneme şoku, ritim oturuyor. Günler kısalmaya başladı.;gün batımı 18:10;18:10;pazar;20:00;21:00;19:00;#yks2027 #yks #yksmotivasyon #psikoloji #eğitimkoçluğu;#yks2027 #yks #yksmotivasyon #psikoloji #keşfet;#yks2027 #yksmotivasyon #Shorts;251;245
2026-10-12;Pzt;Haftanın Planı;;Pazartesi sendromu;Pazartesi zor değil. Pazar akşamı plan yapmamak zor.;öğrenci;kart-liste;;kesin;Ritim;İlk deneme şoku, ritim oturuyor. Günler kısalmaya başladı.;gün batımı 18:09;18:09;okul;20:30;21:30;19:30;#yks2027 #yks #zamanyönetimi #dersprogramı #eğitimkoçluğu;#yks2027 #yks #zamanyönetimi #dersprogramı #keşfet;#yks2027 #zamanyönetimi #Shorts;250;244
2026-10-13;Sal;Ders Taktiği;Fizik;Birimle kontrol et;Cevabın birimi tutmuyorsa, cevap da tutmuyor.;öğrenci;soru-cozum;;kesin;Ritim;İlk deneme şoku, ritim oturuyor. Günler kısalmaya başladı.;gün batımı 18:08;18:08;okul;20:30;21:30;19:30;#yks2027 #yks #fizik #sorubankası #eğitimkoçluğu;#yks2027 #yks #fizik #sorubankası #keşfet;#yks2027 #fizik #Shorts;249;243
2026-10-14;Çar;Aynı Hafta;;Dün hiç çalışmadım;Hocam dün hiç çalışmadım. Bugün iki katı mı yapayım?;öğrenci;yazisma;;kesin;Ritim;İlk deneme şoku, ritim oturuyor. Günler kısalmaya başladı.;gün batımı 18:06;18:06;okul;20:30;21:30;19:30;#yks2027 #yks #öğrenci #öğrencihayatı #eğitimkoçluğu;#yks2027 #yks #öğrenci #öğrencihayatı #keşfet;#yks2027 #öğrenci #Shorts;248;242
2026-10-15;Per;Veli Köşesi;;Kaç soru çözdün diye sormayın;Her akşam ‘kaç soru?’ diye sormak yerine şunu sorun.;veli;kart-veli;;kesin;Ritim;İlk deneme şoku, ritim oturuyor. Günler kısalmaya başladı.;gün batımı 18:05;18:05;veli;21:00;20:30;20:00;#yks2027 #lgs #velirehberi #mersin #eğitimkoçluğu;#yks2027 #lgs #velirehberi #mersin #keşfet;#yks2027 #velirehberi #Shorts;247;241
2026-10-16;Cum;Doğru Bilinen Yanlışlar;;Deneme her gün çözülür;‘Her gün deneme çöz.’ Yanlış.;öğrenci;efsane-gercek;;kesin;Ritim;İlk deneme şoku, ritim oturuyor. Günler kısalmaya başladı.;gün batımı 18:03;18:03;okul;20:30;21:30;19:30;#yks2027 #yks #verimliçalışma #dersçalışma #eğitimkoçluğu;#yks2027 #yks #verimliçalışma #dersçalışma #keşfet;#yks2027 #verimliçalışma #Shorts;246;240
2026-10-17;Cmt;Deneme Günü;;Soru sırası stratejisi;Türkçe'den mi başlarsın matematikten mi? Seç ve sabitle.;öğrenci;kart-liste;;kesin;Ritim;İlk deneme şoku, ritim oturuyor. Günler kısalmaya başladı.;gün batımı 18:02;18:02;cumartesi;13:00;14:30;12:30;#yks2027 #yks #türkiyegenelideneme #denemesınavı #eğitimkoçluğu;#yks2027 #yks #türkiyegenelideneme #denemesınavı #keşfet;#yks2027 #türkiyegenelideneme #Shorts;245;239
2026-10-18;Paz;Pazar Akşamı;;Yetmiyorum hissi;‘Yetmiyorum’ bir his. Gerçek değil.;öğrenci;tek-cumle;;kesin;Ritim;İlk deneme şoku, ritim oturuyor. Günler kısalmaya başladı.;gün batımı 18:01;18:01;pazar;20:00;21:00;19:00;#yks2027 #yks #psikoloji #motivasyon #eğitimkoçluğu;#yks2027 #yks #psikoloji #motivasyon #keşfet;#yks2027 #psikoloji #Shorts;244;238
2026-10-19;Pzt;Haftanın Planı;;En zor dersi sabaha koy;Enerjin en yüksekken en çok kaçtığın dersi çöz.;öğrenci;kart-liste;;kesin;Ritim;İlk deneme şoku, ritim oturuyor. Günler kısalmaya başladı.;gün batımı 18:00;18:00;okul;20:30;21:30;19:30;#yks2027 #yks #dersprogramı #verimliçalışma #eğitimkoçluğu;#yks2027 #yks #dersprogramı #verimliçalışma #keşfet;#yks2027 #dersprogramı #Shorts;243;237
2026-10-20;Sal;Ders Taktiği;Kimya;Mol köprüsü;Kimyada her şey mole çıkar, molden iner.;öğrenci;soru-cozum;;kesin;Ritim;İlk deneme şoku, ritim oturuyor. Günler kısalmaya başladı.;gün batımı 17:58;17:58;okul;20:30;21:30;19:30;#yks2027 #yks #kimya #soruçözümü #eğitimkoçluğu;#yks2027 #yks #kimya #soruçözümü #keşfet;#yks2027 #kimya #Shorts;242;236
2026-10-21;Çar;Aynı Hafta;;Denemede düştüm;Hocam denemede 8 net düştüm. Her şey boşa mı gitti?;öğrenci;yazisma;;kesin;Ritim;İlk deneme şoku, ritim oturuyor. Günler kısalmaya başladı.;gün batımı 17:57;17:57;okul;20:30;21:30;19:30;#yks2027 #yks #öğrencihayatı #sınavstresi #eğitimkoçluğu;#yks2027 #yks #öğrencihayatı #sınavstresi #keşfet;#yks2027 #öğrencihayatı #Shorts;241;235
2026-10-22;Per;Veli Köşesi;;Deneme sonucu geldiğinde;Çocuğunuzun deneme sonucu kötü geldi. İlk cümleniz ne olacak?;veli;kart-veli;;kesin;Ritim;İlk deneme şoku, ritim oturuyor. Günler kısalmaya başladı.;gün batımı 17:56;17:56;veli;21:00;20:30;20:00;#yks2027 #lgs #veli #mersin #eğitimkoçluğu;#yks2027 #lgs #veli #mersin #keşfet;#yks2027 #veli #Shorts;240;234
2026-10-23;Cum;Doğru Bilinen Yanlışlar;;Müzikle çalışılmaz;‘Müzikle çalışılmaz.’ Yarı yanlış.;öğrenci;efsane-gercek;;kesin;Ritim;İlk deneme şoku, ritim oturuyor. Günler kısalmaya başladı.;gün batımı 17:54;17:54;okul;20:30;21:30;19:30;#yks2027 #yks #dersçalışma #doğrubilinenyanlışlar #eğitimkoçluğu;#yks2027 #yks #dersçalışma #doğrubilinenyanlışlar #keşfet;#yks2027 #dersçalışma #Shorts;239;233
2026-10-24;Cmt;Deneme Günü;;İlk tur ikinci tur;İlk turda emin olduklarını çöz. İkinci turda dön.;öğrenci;kart-liste;;kesin;Ritim;İlk deneme şoku, ritim oturuyor. Günler kısalmaya başladı.;gün batımı 17:53;17:53;cumartesi;13:00;14:30;12:30;#yks2027 #yks #denemesınavı #netartırma #eğitimkoçluğu;#yks2027 #yks #denemesınavı #netartırma #keşfet;#yks2027 #denemesınavı #Shorts;238;232
2026-10-25;Paz;Pazar Akşamı;;Yarın yeni hafta;Yarın sıfırdan değil, kaldığın yerden.;öğrenci;tek-cumle;;kesin;Ritim;İlk deneme şoku, ritim oturuyor. Günler kısalmaya başladı.;gün batımı 17:52;17:52;pazar;20:00;21:00;19:00;#yks2027 #yks #motivasyon #sınavkaygısı #eğitimkoçluğu;#yks2027 #yks #motivasyon #sınavkaygısı #keşfet;#yks2027 #motivasyon #Shorts;237;231
2026-10-26;Pzt;Haftanın Planı;;25 dakikalık blok;2 saat oturmak yerine 4 kere 25 dakika dene.;öğrenci;kart-liste;;kesin;Ritim;İlk deneme şoku, ritim oturuyor. Günler kısalmaya başladı.;gün batımı 17:51;17:51;okul;20:30;21:30;19:30;#yks2027 #yks #verimliçalışma #çalışmaplanı #eğitimkoçluğu;#yks2027 #yks #verimliçalışma #çalışmaplanı #keşfet;#yks2027 #verimliçalışma #Shorts;236;230
2026-10-27;Sal;Ders Taktiği;Biyoloji;Şemayla çalış;Biyolojiyi oku değil, çiz. Hücre bölünmesini 3 kere çiz.;öğrenci;soru-cozum;;kesin;Ritim;İlk deneme şoku, ritim oturuyor. Günler kısalmaya başladı.;gün batımı 17:50;17:50;okul;20:30;21:30;19:30;#yks2027 #yks #biyoloji #derstaktikleri #eğitimkoçluğu;#yks2027 #yks #biyoloji #derstaktikleri #keşfet;#yks2027 #biyoloji #Shorts;235;229
2026-10-28;Çar;Aynı Hafta;;Arkadaşım benden iyi;Sınıfta herkes benden çok çalışıyor gibi.;öğrenci;yazisma;;kesin;Ritim;İlk deneme şoku, ritim oturuyor. Günler kısalmaya başladı.;gün batımı 17:48;17:48;okul;20:30;21:30;19:30;#yks2027 #yks #sınavstresi #yksmotivasyon #eğitimkoçluğu;#yks2027 #yks #sınavstresi #yksmotivasyon #keşfet;#yks2027 #sınavstresi #Shorts;234;228
2026-10-29;Per;Özel Gün;;Cumhuriyet Bayramı;Cumhuriyetimizin 103. yılı kutlu olsun.;herkes;tek-cumle;;kesin;Ritim;İlk deneme şoku, ritim oturuyor. Günler kısalmaya başladı.;gün batımı 17:47;17:47;tatil;21:30;22:30;20:30;#yks2027 #yks #öğrenci #mersin #eğitimkoçluğu;#yks2027 #yks #öğrenci #mersin #keşfet;#yks2027 #öğrenci #Shorts;233;227
2026-10-30;Cum;Doğru Bilinen Yanlışlar;;Gece çalışmak verimli;‘Gece daha iyi odaklanıyorum.’ Çoğu zaman yanılsama.;öğrenci;efsane-gercek;;kesin;Ritim;İlk deneme şoku, ritim oturuyor. Günler kısalmaya başladı.;gün batımı 17:46;17:46;okul;20:30;21:30;19:30;#yks2027 #yks #doğrubilinenyanlışlar #çalışmayöntemleri #eğitimkoçluğu;#yks2027 #yks #doğrubilinenyanlışlar #çalışmayöntemleri #keşfet;#yks2027 #doğrubilinenyanlışlar #Shorts;232;226
2026-10-31;Cmt;Deneme Günü;;Deneme analizi 20 dakika;Deneme bitti. En önemli 20 dakika şimdi başlıyor.;öğrenci;kart-liste;;kesin;Ritim;İlk deneme şoku, ritim oturuyor. Günler kısalmaya başladı.;gün batımı 17:45;17:45;cumartesi;13:00;14:30;12:30;#yks2027 #yks #netartırma #tytdeneme #eğitimkoçluğu;#yks2027 #yks #netartırma #tytdeneme #keşfet;#yks2027 #netartırma #Shorts;231;225
2026-11-01;Paz;Pazar Akşamı;;Işık ve ruh hali;Kış akşamları erken karanlık. Masaya iyi bir lamba koy.;öğrenci;tek-cumle;;kesin;Kasım düşüşü;Karanlık erken, ilk yorgunluk. Ara tatil nefes aldırır.;gün batımı 17:44;17:44;pazar;20:00;21:00;19:00;#yks2027 #yks #sınavkaygısı #pazarakşamı #eğitimkoçluğu;#yks2027 #yks #sınavkaygısı #pazarakşamı #keşfet;#yks2027 #sınavkaygısı #Shorts;230;224
2026-11-02;Pzt;Haftanın Planı;;Tatil sonrası dönüş;Tatilden sonra ilk hafta yarım hız. Bilerek.;öğrenci;kart-liste;;kesin;Kasım düşüşü;Karanlık erken, ilk yorgunluk. Ara tatil nefes aldırır.;gün batımı 17:43;17:43;okul;20:30;21:30;19:30;#yks2027 #yks #çalışmaplanı #planlıçalışma #eğitimkoçluğu;#yks2027 #yks #çalışmaplanı #planlıçalışma #keşfet;#yks2027 #çalışmaplanı #Shorts;229;223
2026-11-03;Sal;Ders Taktiği;Tarih;Zaman çizelgesi;Tarihi olay olarak değil, sıra olarak ezberle.;öğrenci;soru-cozum;;kesin;Kasım düşüşü;Karanlık erken, ilk yorgunluk. Ara tatil nefes aldırır.;gün batımı 17:42;17:42;okul;20:30;21:30;19:30;#yks2027 #yks #tarih #tytkampı #eğitimkoçluğu;#yks2027 #yks #tarih #tytkampı #keşfet;#yks2027 #tarih #Shorts;228;222
2026-11-04;Çar;Aynı Hafta;;Ara tatil bitti;Ara tatilde planladığımın yarısını yaptım.;öğrenci;yazisma;;kesin;Kasım düşüşü;Karanlık erken, ilk yorgunluk. Ara tatil nefes aldırır.;gün batımı 17:41;17:41;okul;20:30;21:30;19:30;#yks2027 #yks #yksmotivasyon #sınavkaygısı #eğitimkoçluğu;#yks2027 #yks #yksmotivasyon #sınavkaygısı #keşfet;#yks2027 #yksmotivasyon #Shorts;227;221
2026-11-05;Per;Veli Köşesi;;Ara tatil;Ara tatilde çocuğa ‘tatil’ yaşatmalı mı?;veli;kart-veli;;kesin;Kasım düşüşü;Karanlık erken, ilk yorgunluk. Ara tatil nefes aldırır.;gün batımı 17:40;17:40;veli;21:00;20:30;20:00;#yks2027 #lgs #ebeveyn #mersin #eğitimkoçluğu;#yks2027 #lgs #ebeveyn #mersin #keşfet;#yks2027 #ebeveyn #Shorts;226;220
2026-11-06;Cum;Doğru Bilinen Yanlışlar;;Kış tembel yapar;Kış tembel yapmaz, karanlık yorar. Işığı aç.;öğrenci;efsane-gercek;;kesin;Kasım düşüşü;Karanlık erken, ilk yorgunluk. Ara tatil nefes aldırır.;gün batımı 17:39;17:39;okul;20:30;21:30;19:30;#yks2027 #yks #çalışmayöntemleri #bilgi #eğitimkoçluğu;#yks2027 #yks #çalışmayöntemleri #bilgi #keşfet;#yks2027 #çalışmayöntemleri #Shorts;225;219
2026-11-07;Cmt;Deneme Günü;;Yanlış defteri;Her denemeden 5 yanlış deftere. Başka hiçbir şey.;öğrenci;kart-liste;;kesin;Kasım düşüşü;Karanlık erken, ilk yorgunluk. Ara tatil nefes aldırır.;gün batımı 17:38;17:38;cumartesi;13:00;14:30;12:30;#yks2027 #yks #tytdeneme #denemeanalizi #eğitimkoçluğu;#yks2027 #yks #tytdeneme #denemeanalizi #keşfet;#yks2027 #tytdeneme #Shorts;224;218
2026-11-08;Paz;Pazar Akşamı;;Kaygıyla yaşamak;Kaygı gitmeyecek. Seninle birlikte çalışacak.;öğrenci;tek-cumle;;kesin;Kasım düşüşü;Karanlık erken, ilk yorgunluk. Ara tatil nefes aldırır.;gün batımı 17:37;17:37;pazar;20:00;21:00;19:00;#yks2027 #yks #pazarakşamı #yksmotivasyon #eğitimkoçluğu;#yks2027 #yks #pazarakşamı #yksmotivasyon #keşfet;#yks2027 #pazarakşamı #Shorts;223;217
2026-11-09;Pzt;Haftanın Planı;;Kış saatleri;Hava 17:30'da kararıyor. Planı ışığa göre kur.;öğrenci;kart-liste;;kesin;Kasım düşüşü;Karanlık erken, ilk yorgunluk. Ara tatil nefes aldırır.;gün batımı 17:36;17:36;okul;20:30;21:30;19:30;#yks2027 #yks #planlıçalışma #zamanyönetimi #eğitimkoçluğu;#yks2027 #yks #planlıçalışma #zamanyönetimi #keşfet;#yks2027 #planlıçalışma #Shorts;222;216
2026-11-10;Sal;Özel Gün;;10 Kasım;Saygı ve rahmetle anıyoruz.;herkes;sade-kart;evet;kesin;Kasım düşüşü;Karanlık erken, ilk yorgunluk. Ara tatil nefes aldırır.;gün batımı 17:36;17:36;okul;09:05;09:05;09:05;;;;221;215
2026-11-11;Çar;Aynı Hafta;;Kış karanlığı;Hava erken kararınca hiç çalışasım gelmiyor.;öğrenci;yazisma;;kesin;Kasım düşüşü;Karanlık erken, ilk yorgunluk. Ara tatil nefes aldırır.;gün batımı 17:35;17:35;okul;20:30;21:30;19:30;#yks2027 #yks #sınavkaygısı #öğrenci #eğitimkoçluğu;#yks2027 #yks #sınavkaygısı #öğrenci #keşfet;#yks2027 #sınavkaygısı #Shorts;220;214
2026-11-12;Per;Veli Köşesi;;Kıyaslama;‘Kuzenin yapıyor’ cümlesi hiçbir çocuğa net kazandırmadı.;veli;kart-veli;;kesin;Kasım düşüşü;Karanlık erken, ilk yorgunluk. Ara tatil nefes aldırır.;gün batımı 17:34;17:34;veli;21:00;20:30;20:00;#yks2027 #lgs #anneyiz #mersin #eğitimkoçluğu;#yks2027 #lgs #anneyiz #mersin #keşfet;#yks2027 #anneyiz #Shorts;219;213
2026-11-13;Cum;Özel Gün;;Ara tatil planı;9 günlük ara tatil: 3 gün dinlen, 6 gün telafi.;öğrenci;tek-cumle;;kesin;Kasım düşüşü;Karanlık erken, ilk yorgunluk. Ara tatil nefes aldırır.;gün batımı 17:33;17:33;okul;20:30;21:30;19:30;#yks2027 #yks #motivasyon #eğitim #eğitimkoçluğu;#yks2027 #yks #motivasyon #eğitim #keşfet;#yks2027 #motivasyon #Shorts;218;212
2026-11-14;Cmt;Deneme Günü;;Boş bırakma kararı;Boş mu bırakayım, tahmin mi? İki şıkka indiysen işaretle.;öğrenci;kart-liste;;kesin;Kasım düşüşü;Karanlık erken, ilk yorgunluk. Ara tatil nefes aldırır.;gün batımı 17:32;17:32;tatil;21:30;22:30;20:30;#yks2027 #yks #denemeanalizi #türkiyegenelideneme #eğitimkoçluğu;#yks2027 #yks #denemeanalizi #türkiyegenelideneme #keşfet;#yks2027 #denemeanalizi #Shorts;217;211
2026-11-15;Paz;Pazar Akşamı;;Küçük zaferler;Bu hafta bir soruyu ilk kez yaptın mı? Bu bir zafer.;öğrenci;tek-cumle;;kesin;Kasım düşüşü;Karanlık erken, ilk yorgunluk. Ara tatil nefes aldırır.;gün batımı 17:32;17:32;tatil;21:30;22:30;20:30;#yks2027 #yks #yksmotivasyon #psikoloji #eğitimkoçluğu;#yks2027 #yks #yksmotivasyon #psikoloji #keşfet;#yks2027 #yksmotivasyon #Shorts;216;210
